"age_group","count","percent","rates"
"19 or Under","3","0.15213","0.61173"
"20-29","11","0.55781","4.45022"
"30-39","28","1.41988","10.26491"
"40-49","54","2.73834","18.91876"
"50-59","168","8.51927","61.96495"
"60-69","269","13.64097","124.68655"
"70-79","434","22.00811","324.82599"
"80-89","545","27.63692","855.47899"
"90+","460","23.32657","2802.14425"
"Unknown","0","0","0"
