"age_group","count","percent","rates"
"19 or Under","0","0","0"
"20 - 29","0","0","0"
"30-39","5","2.3","1.8"
"40-49","7","3.2","2.5"
"50-59","23","10.4","8.5"
"60-69","39","17.6","18.1"
"70-79","48","21.6","35.9"
"80-89","53","23.9","83.2"
"90+","47","21.2","286.3"
"Unknown","0","0","0"
