"age_group","count","percent","rates"
"19 or under","4","0.19212","0.84687"
"20-29","12","0.57637","4.37049"
"30-39","34","1.63305","11.4268"
"40-49","77","3.69837","28.13721"
"50-59","196","9.41402","78.01585"
"60-69","324","15.56196","174.9375"
"70-79","445","21.37368","418.36284"
"80-84","254","12.19981","803.67031"
"85+","736","35.35062","2105.5643"
"Unknown","0","0","0"
