"age_group","count","percent","rates"
"19 or Under","0","0","0"
"20 - 29","0","0","0"
"30-39","5","2.2","1.8"
"40-49","7","3.1","2.5"
"50-59","23","10.3","8.5"
"60-69","40","17.9","18.5"
"70-79","48","21.4","35.9"
"80-89","53","23.7","83.2"
"90+","48","21.4","292.4"
"Unknown","0","0","0"
