"age_group","count","percent","rates"
"19 or Under","3","0.17172","0.61173"
"20-29","10","0.57241","4.04565"
"30-39","23","1.31654","8.43189"
"40-49","46","2.63309","16.11598"
"50-59","136","7.78477","50.1621"
"60-69","238","13.62335","110.31746"
"70-79","393","22.49571","294.13966"
"80-89","478","27.36119","750.31001"
"90+","420","24.04121","2558.47953"
"Unknown","0","0","0"
