"age_group","count","percent","rates"
"19 or under","5","0.21386","1.05858"
"20-29","16","0.68435","5.82731"
"30-39","45","1.92472","15.12371"
"40-49","88","3.7639","32.15681"
"50-59","216","9.23867","85.97665"
"60-69","373","15.95381","201.3941"
"70-79","485","20.74423","455.96849"
"80-84","295","12.61762","933.39661"
"85+","815","34.85885","2331.56916"
"Unknown","0","0","0"
