"age_group","count","percent","rates"
"19 or Under","3","0.17483","0.61173"
"20-29","8","0.4662","3.23652"
"30-39","25","1.45688","9.1651"
"40-49","48","2.7972","16.81667"
"50-59","152","8.85781","56.06353"
"60-69","253","14.74359","117.27025"
"70-79","386","22.49417","288.90053"
"80-89","461","26.8648","723.62535"
"90+","380","22.14452","2314.81481"
"Unknown","0","0","0"
