"age_group","count","percent","rates"
"19 or under","0","0","0"
"20-29","0","0","0"
"30-39","4","2","1.5"
"40-49","6","3.1","2.1"
"50-59","20","10.2","7.4"
"60-69","32","16.3","14.8"
"70-79","43","21.9","32.2"
"80-89","50","25.5","78.5"
"90+","41","20.9","249.8"
"Unknown","0","0","0"
