"age_group","count","percent","rates"
"19 or Under","3","0.17975","0.61173"
"20-29","10","0.59916","4.04565"
"30-39","21","1.25824","7.69868"
"40-49","45","2.69623","15.76563"
"50-59","125","7.48951","46.10488"
"60-69","230","13.78071","106.60931"
"70-79","373","22.34871","279.17072"
"80-89","458","27.44158","718.91629"
"90+","404","24.20611","2461.01365"
"Unknown","0","0","0"
