"age_group","count","percent","rates"
"19 or Under","1","0.3","0.2"
"20-29","3","0.8","1.2"
"30-39","7","1.8","2.6"
"40-49","15","3.9","5.3"
"50-59","34","8.9","12.5"
"60-69","64","16.8","29.7"
"70-79","83","21.7","62.1"
"80-89","94","24.6","147.6"
"90+","81","21.2","493.4"
"Unknown","0","0","0"
