"age_group","count","percent","rates"
"19 or under","0","0","0"
"20-29","2","0.6","0.8"
"30-39","6","1.7","2.2"
"40-49","14","4.1","4.9"
"50-59","33","9.6","12.2"
"60-69","58","16.8","26.9"
"70-79","75","21.7","56.1"
"80-89","82","23.8","128.7"
"90+","75","21.7","456.9"
"Unknown","0","0","0"
