"age_group","count","percent","rates"
"19 or Under","3","0.16358","0.61173"
"20-29","8","0.43621","3.23652"
"30-39","30","1.63577","10.99812"
"40-49","62","3.38059","21.72154"
"50-59","170","9.26936","62.70263"
"60-69","278","15.15812","128.85821"
"70-79","402","21.9193","300.87568"
"80-89","491","26.77208","770.71593"
"90+","390","21.26499","2375.73099"
"Unknown","0","0","0"
