"age_group","count","percent","rates"
"19 or under","6","0.2454","1.2703"
"20-29","16","0.6544","5.82731"
"30-39","47","1.92229","15.79588"
"40-49","90","3.68098","32.88764"
"50-59","222","9.07975","88.36489"
"60-69","387","15.82822","208.95313"
"70-79","501","20.4908","471.01075"
"80-84","312","12.76074","987.18557"
"85+","864","35.33742","2471.74939"
"Unknown","0","0","0"
