"race_eth","counts","percent","rates","percent_pop"
"African American","11","4.4","23.2","2.36"
"Asian","66","26.6","10.1","35.65"
"Latino","82","33.1","15","25.78"
"Native Hawaiian & Other Pacific Islander","1","0.4","14.2","0.32"
"White","78","31.5","11.6","32.04"
"Other","8","3.2",,"3.85"
"Unknown","2","0.8",,
