"race_eth","counts","percent","rates","percent_pop"
"African American","25","3.34672","52.66151","2.36"
"Asian","190","25.43507","28.99856","35.65"
"Latino","237","31.72691","43.33358","25.78"
"Native Hawaiian & Other Pacific Islander","5","0.66934","70.83156","0.32"
"White","238","31.86078","35.50135","32.04"
"Other","32","4.2838",,"3.85"
"Unknown","20","2.67738",,
