"race_eth","counts","percent","rates","percent_pop"
"African American","62","2.92867","130.60055","2.36"
"Asian","495","23.38214","75.54887","35.65"
"Latino","606","28.62541","110.80231","25.78"
"Native Hawaiian & Other Pacific Islander","10","0.47237","141.66313","0.32"
"White","649","30.65659","96.80831","32.04"
"Other","127","5.99906",,"3.85"
"Unknown","168","7.93576",,
