"race_eth","counts","percent","rates","percent_pop"
"African American","59","2.86408","124.28117","2.36"
"Asian","485","23.54369","74.02263","35.65"
"Latino","592","28.73786","108.24252","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.43689","127.49681","0.32"
"White","628","30.48544","93.67584","32.04"
"Other","125","6.06796",,"3.85"
"Unknown","162","7.86408",,
