"race_eth","counts","percent","rates","percent_pop"
"African American","17","3.66379","35.80983","2.36"
"Asian","117","25.21552","17.85701","35.65"
"Latino","162","34.91379","29.62042","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.43103","28.33263","0.32"
"White","145","31.25","21.62898","32.04"
"Other","14","3.01724",,"3.85"
"Unknown","7","1.50862",,
