"race_eth","counts","percent","rates","percent_pop"
"African American","70","2.82486","154.66537","2.4"
"Asian","565","22.80065","80.79624","37.7"
"Latino","757","30.54883","154.18206","26.5"
"Native Hawaiian & Other Pacific Islander","13","0.52462","208.70124","0.3"
"White","855","34.50363","140.64744","32.8"
"Other","185","7.4657","3360.58129","0.3"
"Unknown","33","1.33172",,
