"race_eth","counts","percent","rates","percent_pop"
"African American","35","3.46192","73.72612","2.36"
"Asian","248","24.53017","37.85075","35.65"
"Latino","301","29.7725","55.03547","25.78"
"Native Hawaiian & Other Pacific Islander","7","0.69238","99.16419","0.32"
"White","339","33.53116","50.56705","32.04"
"Other","49","4.84669",,"3.85"
"Unknown","32","3.16518",,
