"race_eth","counts","percent","rates","percent_pop"
"African American","51","2.95652","107.42949","2.36"
"Asian","407","23.5942","62.11796","35.65"
"Latino","491","28.46377","89.77547","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.52174","127.49681","0.32"
"White","551","31.94203","82.19011","32.04"
"Other","98","5.68116",,"3.85"
"Unknown","118","6.84058",,
