"race_eth","counts","percent","rates","percent_pop"
"African American","52","2.8462","109.53595","2.36"
"Asian","430","23.53585","65.62831","35.65"
"Latino","522","28.57143","95.44357","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.49261","127.49681","0.32"
"White","571","31.25342","85.17341","32.04"
"Other","108","5.91133",,"3.85"
"Unknown","135","7.38916",,
