"race_eth","counts","percent","rates","percent_pop"
"African American","69","2.79919","152.45587","2.4"
"Asian","564","22.88032","80.65323","37.7"
"Latino","754","30.58824","153.57104","26.5"
"Native Hawaiian & Other Pacific Islander","13","0.52738","208.70124","0.3"
"White","848","34.40162","139.49594","32.8"
"Other","185","7.50507","3360.58129","0.3"
"Unknown","32","1.29817",,
