"race_eth","counts","percent","rates","percent_pop"
"African American","11","4.3","23.2","2.36"
"Asian","66","26","10.1","35.65"
"Latino","86","33.9","15.7","25.78"
"Native Hawaiian & Other Pacific Islander","1","0.4","14.2","0.32"
"White","78","30.7","11.6","32.04"
"Other","8","3.1",,"3.85"
"Unknown","4","1.6",,
