"race_eth","counts","percent","rates","percent_pop"
"African American","68","3.10502","143.23931","2.36"
"Asian","532","24.29224","81.19596","35.65"
"Latino","640","29.22374","117.01894","25.78"
"Native Hawaiian & Other Pacific Islander","10","0.45662","141.66313","0.32"
"White","730","33.33333","108.8907","32.04"
"Other","132","6.0274",,"3.85"
"Unknown","78","3.56164",,
