"race_eth","counts","percent","rates","percent_pop"
"African American","27","3.3","56.9","2.36"
"Asian","203","24.9","31","35.65"
"Latino","258","31.7","47.2","25.78"
"Native Hawaiian & Other Pacific Islander","6","0.7","85","0.32"
"White","260","31.9","38.8","32.04"
"Other","34","4.2",,"3.85"
"Unknown","27","3.3",,
