"race_eth","counts","percent","rates","percent_pop"
"African American","9","3.9","19","2.36"
"Asian","65","27.9","9.9","35.65"
"Latino","76","32.6","13.9","25.78"
"Native Hawaiian & Other Pacific Islander","1","0.4","14.2","0.32"
"White","71","30.5","10.6","32.04"
"Other","6","2.6",,"3.85"
"Unknown","5","2.1",,
