"race_eth","counts","percent","rates","percent_pop"
"African American","58","2.87556","122.17471","2.36"
"Asian","478","23.69856","72.95427","35.65"
"Latino","581","28.80516","106.23126","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.44621","127.49681","0.32"
"White","617","30.58999","92.03502","32.04"
"Other","121","5.99901",,"3.85"
"Unknown","153","7.58552",,
