"race_eth","counts","percent","rates","percent_pop"
"African American","50","2.93772","105.32303","2.36"
"Asian","430","25.26439","65.62831","35.65"
"Latino","531","31.19859","97.08915","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.52879","127.49681","0.32"
"White","547","32.13866","81.59344","32.04"
"Other","102","5.99295",,"3.85"
"Unknown","33","1.9389",,
