"race_eth","counts","percent","rates","percent_pop"
"African American","19","3.71094","40.02275","2.36"
"Asian","125","24.41406","19.078","35.65"
"Latino","177","34.57031","32.36305","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.39063","28.33263","0.32"
"White","168","32.8125","25.05978","32.04"
"Other","14","2.73438",,"3.85"
"Unknown","7","1.36719",,
