"race_eth","counts","percent","rates","percent_pop"
"African American","55","2.7834","121.52279","2.4"
"Asian","424","21.45749","60.63293","37.7"
"Latino","624","31.57895","127.09327","26.5"
"Native Hawaiian & Other Pacific Islander","8","0.40486","128.43153","0.3"
"White","572","28.94737","94.09396","32.8"
"Other","160","8.09717","2906.44868","0.3"
"Unknown","133","6.73077",,
