"race_eth","counts","percent","rates","percent_pop"
"African American","8","4.3","16.9","2.36"
"Asian","56","29.9","8.5","35.65"
"Latino","58","31","10.6","25.78"
"Native Hawaiian & Other Pacific Islander","0","0","0","0.32"
"White","58","31","8.7","32.04"
"Other","5","2.7",,"3.85"
"Unknown","2","1.1",,
