"race_eth","counts","percent","rates","percent_pop"
"African American","14","3.9","29.5","2.36"
"Asian","89","24.5","13.6","35.65"
"Latino","132","36.4","24.1","25.78"
"Native Hawaiian & Other Pacific Islander","3","0.8","42.5","0.32"
"White","110","30.3","16.4","32.04"
"Other","11","3",,"3.85"
"Unknown","4","1.1",,
