"race_eth","counts","percent","rates","percent_pop"
"African American","10","4.1","21.1","2.36"
"Asian","65","26.6","9.9","35.65"
"Latino","78","32","14.3","25.78"
"Native Hawaiian & Other Pacific Islander","1","0.4","14.2","0.32"
"White","78","32","11.6","32.04"
"Other","7","2.9",,"3.85"
"Unknown","5","2",,
