"race_eth","counts","percent","rates","percent_pop"
"African American","57","2.89487","120.06825","2.36"
"Asian","468","23.76841","71.42803","35.65"
"Latino","561","28.49162","102.57442","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.45708","127.49681","0.32"
"White","607","30.82783","90.54336","32.04"
"Other","116","5.89132",,"3.85"
"Unknown","151","7.66887",,
