"race_eth","counts","percent","rates","percent_pop"
"African American","10","4.2","21.1","2.36"
"Asian","65","27.1","9.9","35.65"
"Latino","78","32.5","14.3","25.78"
"Native Hawaiian & Other Pacific Islander","1","0.4","14.2","0.32"
"White","75","31.3","11.2","32.04"
"Other","6","2.5",,"3.85"
"Unknown","5","2.1",,
