"race_eth","counts","percent","rates","percent_pop"
"African American","14","4.1","29.5","2.36"
"Asian","86","25","13.1","35.65"
"Latino","117","34","21.4","25.78"
"Native Hawaiian & Other Pacific Islander","3","0.9","42.5","0.32"
"White","104","30.2","15.5","32.04"
"Other","9","2.6",,"3.85"
"Unknown","11","3.2",,
