"race_eth","counts","percent","rates","percent_pop"
"African American","13","3.9","27.4","2.36"
"Asian","85","25.5","13","35.65"
"Latino","113","33.9","20.7","25.78"
"Native Hawaiian & Other Pacific Islander","3","0.9","42.5","0.32"
"White","100","30","14.9","32.04"
"Other","9","2.7",,"3.85"
"Unknown","10","3",,
