"race_eth","counts","percent","rates","percent_pop"
"African American","17","4.038","35.80983","2.36"
"Asian","99","23.51544","15.10977","35.65"
"Latino","158","37.52969","28.88905","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.47506","28.33263","0.32"
"White","125","29.69121","18.64567","32.04"
"Other","10","2.3753",,"3.85"
"Unknown","10","2.3753",,
