"race_eth","counts","percent","rates","percent_pop"
"African American","12","3.8","25.3","2.36"
"Asian","82","25.8","12.5","35.65"
"Latino","109","34.3","19.9","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.6","28.3","0.32"
"White","95","29.9","14.2","32.04"
"Other","12","3.8",,"3.85"
"Unknown","6","1.9",,
