"race_eth","counts","percent","rates","percent_pop"
"African American","57","2.89047","120.06825","2.36"
"Asian","469","23.78296","71.58065","35.65"
"Latino","562","28.49899","102.75726","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.45639","127.49681","0.32"
"White","608","30.83164","90.69253","32.04"
"Other","116","5.88235",,"3.85"
"Unknown","151","7.6572",,
