"race_eth","counts","percent","rates","percent_pop"
"African American","40","3.12989","84.25842","2.36"
"Asian","305","23.86541","46.55032","35.65"
"Latino","369","28.87324","67.46873","25.78"
"Native Hawaiian & Other Pacific Islander","7","0.54773","99.16419","0.32"
"White","421","32.9421","62.79861","32.04"
"Other","75","5.86854",,"3.85"
"Unknown","61","4.77308",,
