"race_eth","counts","percent","rates","percent_pop"
"African American","12","3.9","25.3","2.36"
"Asian","81","26","12.4","35.65"
"Latino","105","33.8","19.2","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.6","28.3","0.32"
"White","94","30.2","14","32.04"
"Other","12","3.9",,"3.85"
"Unknown","5","1.6",,
