"race_eth","counts","percent","rates","percent_pop"
"African American","67","2.82939","148.03685","2.4"
"Asian","531","22.42399","75.93416","37.7"
"Latino","739","31.20777","150.51591","26.5"
"Native Hawaiian & Other Pacific Islander","13","0.54899","208.70124","0.3"
"White","799","33.74155","131.43544","32.8"
"Other","187","7.89696","3396.9119","0.3"
"Unknown","32","1.35135",,
