"race_eth","counts","percent","rates","percent_pop"
"African American","16","3.53201","33.70337","2.36"
"Asian","113","24.94481","17.24651","35.65"
"Latino","160","35.32009","29.25474","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.4415","28.33263","0.32"
"White","141","31.12583","21.03231","32.04"
"Other","14","3.09051",,"3.85"
"Unknown","7","1.54525",,
