"race_eth","counts","percent","rates","percent_pop"
"African American","54","2.80665","119.31329","2.4"
"Asian","419","21.77755","59.91792","37.7"
"Latino","611","31.75676","124.44549","26.5"
"Native Hawaiian & Other Pacific Islander","8","0.4158","128.43153","0.3"
"White","547","28.43035","89.98146","32.8"
"Other","157","8.16008","2851.95277","0.3"
"Unknown","128","6.65281",,
