"race_eth","counts","percent","rates","percent_pop"
"African American","47","3.05195","99.00364","2.36"
"Asian","368","23.8961","56.16563","35.65"
"Latino","440","28.57143","80.45052","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.58442","127.49681","0.32"
"White","499","32.4026","74.43351","32.04"
"Other","91","5.90909",,"3.85"
"Unknown","86","5.58442",,
