"race_eth","counts","percent","rates","percent_pop"
"African American","38","3.42651","80.0455","2.36"
"Asian","268","24.16592","40.90323","35.65"
"Latino","328","29.57619","59.97221","25.78"
"Native Hawaiian & Other Pacific Islander","7","0.6312","99.16419","0.32"
"White","367","33.09288","54.74368","32.04"
"Other","59","5.32011",,"3.85"
"Unknown","42","3.7872",,
