"race_eth","counts","percent","rates","percent_pop"
"African American","8","4.4","16.9","2.36"
"Asian","56","30.9","8.5","35.65"
"Latino","56","30.9","10.2","25.78"
"Native Hawaiian & Other Pacific Islander","0","0","0","0.32"
"White","51","28.2","7.6","32.04"
"Other","5","2.8",,"3.85"
"Unknown","5","2.8",,
