"race_eth","counts","percent","rates","percent_pop"
"African American","19","3.90947","40.02275","2.36"
"Asian","120","24.69136","18.31488","35.65"
"Latino","169","34.77366","30.90031","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.41152","28.33263","0.32"
"White","156","32.09877","23.26979","32.04"
"Other","14","2.88066",,"3.85"
"Unknown","6","1.23457",,
