"race_eth","counts","percent","rates","percent_pop"
"African American","56","2.62541","123.7323","2.4"
"Asian","450","21.09705","64.35098","37.7"
"Latino","661","30.98922","134.62925","26.5"
"Native Hawaiian & Other Pacific Islander","9","0.42194","144.48547","0.3"
"White","624","29.25457","102.64796","32.8"
"Other","175","8.20441","3178.92825","0.3"
"Unknown","158","7.40741",,
