"race_eth","counts","percent","rates","percent_pop"
"African American","8","4.5","16.9","2.36"
"Asian","55","30.9","8.4","35.65"
"Latino","56","31.5","10.2","25.78"
"Native Hawaiian & Other Pacific Islander","0","0","0","0.32"
"White","50","28.1","7.5","32.04"
"Other","5","2.8",,"3.85"
"Unknown","4","2.2",,
