"race_eth","counts","percent","rates","percent_pop"
"African American","44","2.9871","92.68426","2.36"
"Asian","353","23.9647","53.87627","35.65"
"Latino","427","28.98846","78.07358","25.78"
"Native Hawaiian & Other Pacific Islander","8","0.54311","113.3305","0.32"
"White","481","32.65445","71.74853","32.04"
"Other","85","5.77054",,"3.85"
"Unknown","75","5.09165",,
