"race_eth","counts","percent","rates","percent_pop"
"African American","58","2.88845","122.17471","2.36"
"Asian","475","23.65538","72.49639","35.65"
"Latino","578","28.78486","105.68273","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.44821","127.49681","0.32"
"White","617","30.72709","92.03502","32.04"
"Other","119","5.92629",,"3.85"
"Unknown","152","7.56972",,
