"race_eth","counts","percent","rates","percent_pop"
"African American","61","2.8828","128.49409","2.36"
"Asian","495","23.39319","75.54887","35.65"
"Latino","606","28.63894","110.80231","25.78"
"Native Hawaiian & Other Pacific Islander","10","0.47259","141.66313","0.32"
"White","648","30.62382","96.65914","32.04"
"Other","127","6.00189",,"3.85"
"Unknown","169","7.98677",,
