"race_eth","counts","percent","rates","percent_pop"
"African American","42","3.01075","88.47134","2.36"
"Asian","308","22.07885","47.00819","35.65"
"Latino","403","28.88889","73.68537","25.78"
"Native Hawaiian & Other Pacific Islander","7","0.50179","99.16419","0.32"
"White","432","30.96774","64.43943","32.04"
"Other","115","8.24373",,"3.85"
"Unknown","88","6.30824",,
