"race_eth","counts","percent","rates","percent_pop"
"African American","12","3.9","25.3","2.36"
"Asian","80","26.3","12.2","35.65"
"Latino","104","34.2","19","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.7","28.3","0.32"
"White","91","29.9","13.6","32.04"
"Other","11","3.6",,"3.85"
"Unknown","4","1.3",,
