"race_eth","counts","percent","rates","percent_pop"
"African American","56","2.8866","117.96179","2.36"
"Asian","460","23.71134","70.20703","35.65"
"Latino","557","28.71134","101.84305","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.46392","127.49681","0.32"
"White","600","30.92784","89.49921","32.04"
"Other","113","5.82474",,"3.85"
"Unknown","145","7.47423",,
