"race_eth","counts","percent","rates","percent_pop"
"African American","12","4.2","25.3","2.36"
"Asian","73","25.4","11.1","35.65"
"Latino","99","34.5","18.1","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.7","28.3","0.32"
"White","88","30.7","13.1","32.04"
"Other","10","3.5",,"3.85"
"Unknown","3","1",,
