"race_eth","counts","percent","rates","percent_pop"
"African American","17","3.67171","35.80983","2.36"
"Asian","116","25.054","17.70438","35.65"
"Latino","162","34.9892","29.62042","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.43197","28.33263","0.32"
"White","145","31.31749","21.62898","32.04"
"Other","14","3.02376",,"3.85"
"Unknown","7","1.51188",,
