"race_eth","counts","percent","rates","percent_pop"
"African American","19","3.61217","40.02275","2.36"
"Asian","129","24.52471","19.68849","35.65"
"Latino","180","34.22053","32.91158","25.78"
"Native Hawaiian & Other Pacific Islander","2","0.38023","28.33263","0.32"
"White","171","32.50951","25.50727","32.04"
"Other","17","3.23194",,"3.85"
"Unknown","8","1.52091",,
