"race_eth","counts","percent","rates","percent_pop"
"African American","55","2.61656","121.52279","2.4"
"Asian","446","21.21789","63.77898","37.7"
"Latino","651","30.9705","132.5925","26.5"
"Native Hawaiian & Other Pacific Islander","9","0.42816","144.48547","0.3"
"White","617","29.353","101.49646","32.8"
"Other","173","8.23026","3142.59764","0.3"
"Unknown","151","7.18363",,
