"race_eth","counts","percent","rates","percent_pop"
"African American","51","2.94968","107.42949","2.36"
"Asian","409","23.65529","62.42321","35.65"
"Latino","493","28.51359","90.14115","25.78"
"Native Hawaiian & Other Pacific Islander","9","0.52053","127.49681","0.32"
"White","551","31.86813","82.19011","32.04"
"Other","99","5.72585",,"3.85"
"Unknown","117","6.76692",,
