"race_eth","counts","percent","rates","percent_pop"
"African American","28","3.3","59","2.36"
"Asian","211","25","32.2","35.65"
"Latino","264","31.3","48.3","25.78"
"Native Hawaiian & Other Pacific Islander","6","0.7","85","0.32"
"White","266","31.6","39.7","32.04"
"Other","35","4.2",,"3.85"
"Unknown","33","3.9",,
